timestamp,page_load_time(ms),requests_per_second,server_response_time(ms),active_users,error_rate(%)
2024-11-12 00:00:00,150,120,45,8500,0.2
2024-11-12 00:05:00,160,118,47,8600,0.3
2024-11-12 00:10:00,158,115,46,8700,0.1
2024-11-12 00:15:00,170,110,50,8800,0.25
2024-11-12 00:20:00,165,112,49,8900,0.3
2024-11-12 00:25:00,155,119,44,9000,0.15
2024-11-12 00:30:00,160,121,48,9200,0.2
2024-11-12 00:35:00,162,116,47,9300,0.18
2024-11-12 00:40:00,150,122,42,9400,0.1
2024-11-12 00:45:00,148,125,40,9500,0.2
2024-11-12 00:50:00,145,127,41,9600,0.05
2024-11-12 00:55:00,155,123,45,9700,0.3
2024-11-12 01:00:00,150,120,44,9800,0.1
2024-11-12 01:05:00,160,118,47,9900,0.2
2024-11-12 01:10:00,170,110,50,10000,0.25
2024-11-12 01:15:00,165,112,49,10100,0.3
2024-11-12 01:20:00,155,119,44,10200,0.15
2024-11-12 01:25:00,160,121,48,10300,0.2
2024-11-12 01:30:00,162,116,47,10400,0.18
2024-11-12 01:35:00,150,122,42,10500,0.1
2024-11-12 01:40:00,148,125,40,10600,0.2
2024-11-12 01:45:00,145,127,41,10700,0.05
2024-11-12 01:50:00,155,123,45,10800,0.3
2024-11-12 01:55:00,150,120,44,10900,0.1
2024-11-12 02:00:00,160,119,47,11000,0.15
2024-11-12 02:05:00,155,118,45,11100,0.2
2024-11-12 02:10:00,145,120,43,11200,0.12
2024-11-12 02:15:00,150,122,46,11300,0.3
2024-11-12 02:20:00,158,116,44,11400,0.18
2024-11-12 02:25:00,165,114,48,11500,0.22
2024-11-12 02:30:00,168,113,49,11600,0.2
2024-11-12 02:35:00,170,111,51,11700,0.25
2024-11-12 02:40:00,160,115,47,11800,0.15
2024-11-12 02:45:00,155,113,44,11900,0.1
2024-11-12 02:50:00,150,119,42,12000,0.3
2024-11-12 02:55:00,145,120,41,12100,0.05
2024-11-12 03:00:00,155,121,45,12200,0.12
2024-11-12 03:05:00,160,118,46,12300,0.2
2024-11-12 03:10:00,162,116,48,12400,0.18
2024-11-12 03:15:00,155,120,44,12500,0.3
2024-11-12 03:20:00,150,122,43,12600,0.1
2024-11-12 03:25:00,165,124,49,12700,0.22
2024-11-12 03:30:00,170,126,51,12800,0.25
2024-11-12 03:35:00,160,123,47,12900,0.2
2024-11-12 03:40:00,155,121,45,13000,0.15
2024-11-12 03:45:00,148,118,42,13100,0.3
2024-11-12 03:50:00,145,120,41,13200,0.1
2024-11-12 03:55:00,155,119,44,13300,0.2
2024-11-12 04:00:00,150,122,45,13400,0.25
2024-11-12 04:05:00,160,121,47,13500,0.1
2024-11-12 04:10:00,162,118,48,13600,0.18
2024-11-12 04:15:00,170,115,50,13700,0.3
2024-11-12 04:20:00,165,113,46,13800,0.22
2024-11-12 04:25:00,160,116,47,13900,0.2
2024-11-12 04:30:00,155,118,45,14000,0.15
2024-11-12 04:35:00,150,120,44,14100,0.1
2024-11-12 04:40:00,145,122,42,14200,0.3
2024-11-12 04:45:00,155,125,45,14300,0.2
2024-11-12 04:50:00,160,123,47,14400,0.15
2024-11-12 04:55:00,162,118,48,14500,0.18
2024-11-12 05:00:00,170,120,50,14600,0.25
2024-11-12 05:05:00,160,119,46,14700,0.2
2024-11-12 05:10:00,155,121,44,14800,0.1
2024-11-12 05:15:00,150,122,43,14900,0.3
2024-11-12 05:20:00,145,120,41,15000,0.1
2024-11-12 05:25:00,155,124,45,15100,0.2
2024-11-12 05:30:00,160,126,47,15200,0.15
2024-11-12 05:35:00,162,123,49,15300,0.3
2024-11-12 05:40:00,170,121,50,15400,0.1
2024-11-12 05:45:00,165,119,48,15500,0.22
2024-11-12 05:50:00,160,117,46,15600,0.2
2024-11-12 05:55:00,155,120,45,15700,0.1
2024-11-12 06:00:00,150,118,44,15800,0.25

